DISTRICT_NAME,DISTRICT_NUMBER,TYPE,STATUS,COUNTY,COUNTIES_INCLUDED,PLACES,DISTRICT_NOTE,CHANGE_NOTE
King County Water District No. 90 (1952),90,Water,active,King,King,NA,NA,Service area includes Renton
King County Water District No. 94,94,Water,merged,King,NA,NA,NA,"Merged into Covington Water District, election November 7, 2000"
Kiona-Benton City School District No. 52,52,School,active,Benton,Benton,"Benton City, West Richland",NA,NA
Kiona Irrigation District,NA,Irrigation,active,Benton,Benton,NA,NA,"Benton City, eastern Benton County"
Kitsap Conservation District,NA,Conservation,active,Kitsap,Kitsap,NA,NA,NA
Kitsap County Consolidated Housing Authority,NA,Housing Authority,active,Kitsap,Kitsap,NA,NA,NA
Kitsap County Fire Protection District No. 11,11,Fire Protection,merged,Kitsap,Kitsap,NA,NA,"In 1977, District No. 11 merged into District No. 15."
Kitsap County Fire Protection District No. 12,12,Fire Protection,merged,Kitsap,Kitsap,NA,NA,"On January 1, 2003 Kitsap County Fire District No. 12 officially merged with CKFR."
Kitsap County Fire Protection District No. 15,15,Fire Protection,merged,Kitsap,Kitsap,NA,NA,"In 1999, Fire District No. 15 merged with District No. 1 and became Central Kitsap Fire and Rescue (CKFR)"
Kitsap County Fire Protection District No. 18,18,Fire Protection,active,Kitsap,Kitsap,Poulsbo,NA,NA
Kitsap County Fire Protection District No. 7,7,Fire Protection,active,Kitsap,Kitsap,Port Orchard,NA,NA
Kitsap County Fire Protection District No. 9,9,Fire Protection,merged,Kitsap,Kitsap,NA,NA,"In 1989, District No. 9 merged with District No. 15."
Kitsap County Health District,NA,Health,active,Kitsap,Kitsap,NA,NA,NA
Kitsap County Public Transportation Benefit Area,NA,Transportation,active,Kitsap,Kitsap,"Bremerton, Port Orchard,  Poulsbo, Bainbridge Island",Kitsap Transit,NA
Kitsap County Sewer District No. 7,7,Sewer,active,Kitsap,Kitsap,NA,NA,Serves the Fort Ward area of the south end of Bainbridge Island
Kitsap Public Facilities District,NA,Public Facilities,active,Kitsap,Kitsap,NA,NA,NA
Kitsap Rural Library District,NA,Library,active,Kitsap,Kitsap,Port Orchard (8/10),Kitsap Regional Library,NA
Kittitas Cemetery District No. 1,1,Cemetery,active,Kittitas,Kittitas,NA,Thorp Cemetery District,NA
Kittitas County  Television  Reception Improvement District No. 1,1,Television Reception,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Conservation District,NA,Conservation,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Fire District No. 5/King Fire District No. 51,5,Fire Protection,active,Kittitas,"Kittitas, King",NA,Merger,Kittitas County Fire District No. 5 - Snoqualmie Pass merged with King County 51 in 1992
Kittitas County Fire Protection District No.  9,NA,Fire Protection,merged,Kittitas,Kittitas,NA,NA,Kittitas County Fire District No. 9 merged with Fire District 8
Kittitas County Fire Protection District No. 1,1,Fire Protection,active,Kittitas,Kittitas,NA,Thorp,NA
Kittitas County Fire Protection District No. 2,2,Fire Protection,active,Kittitas,Kittitas,Ellensburg,Kittitas Valley Fire and Rescue,NA
Kittitas County Fire Protection District No. 3,3,Fire Protection,active,Kittitas,Kittitas,Kittitas (part),Easton,NA
Kittitas County Fire Protection District No. 4,4,Fire Protection,active,Kittitas,Kittitas,NA,Vantage,NA
Kittitas County Fire Protection District No. 6,6,Fire Protection,active,Kittitas,King,NA,Lake Cle Elum/Ronald,NA
Kittitas County Fire Protection District No. 7,7,Fire Protection,active,Kittitas,Kittitas,NA,NA,Area surrounding Cle Elum
Kittitas County Fire Protection District No. 8,8,Fire Protection,active,Kittitas,Kittitas,NA,Lake Kachess,NA
Kittitas County Flood Control Zone District (2012),NA,Flood Control,active,Kittitas,Kittitas,County-Wide,NA,NA
Kittitas County Park & Recreation District No. 1 (2005),1,Parks,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Public Hospital District No. 1,1,Hospital,active,Kittitas,Kittitas,"Ellensburg, Kittitas",dba Kittitas Valley Community Hospital,NA
Kittitas County Public Hospital District No. 2,2,Hospital,active,Kittitas,Kittitas,"Cle Elum, South Cle Elum, Roslyn",NA,Cle Elum Family Medical Center
Kittitas County PUD No. 1,1,NA,active,Kittitas,Kittitas,"Cle Elum, Ellensburg, Kittitas, Roslyn, South Cle Elum",NA,NA
Kittitas County Rail District (County Rail District),NA,NA,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Sewer District No. 1 dba Snoqualmie Pass Utility District,1,Sewer,active,Kittitas,"Kittitas, King",NA,NA,King County Summit Sewer District and Kittitas County Sewer District No. 1 consolidated into Snoqualmie Pass Sewer District of King and Kittitas Counties in 1984. Name changed to Snoqualmie Pass Utility District in 1994.
Kittitas County Water District No. 2,2,Water,active,Kittitas,Kittitas,NA,Ronald,NA
Kittitas County Water District No. 3,3,Water,active,Kittitas,Kittitas,NA,Easton,Service area includes Roslyn
Kittitas County Water District No. 4,4,Water,active,Kittitas,Kittitas,NA,Thorp,NA
Kittitas County Water District No. 5,5,Water,active,Kittitas,Kittitas,NA,Elk,NA
Kittitas County Water District No. 6,6,Water,active,Kittitas,Kittitas,NA,Vantage,NA
Kittitas County Water District No. 7,7,Water,active,Kittitas,Kittitas,NA,Sun Light Waters,NA
Kittitas County Weed District No. 1,1,Weed Control,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Weed District No. 2,2,Weed Control,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Weed District No. 3,3,Weed Control,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Weed District No. 4,4,Weed Control,active,Kittitas,Kittitas,NA,NA,NA
Kittitas County Weed District No. 5,5,Weed Control,active,Kittitas,Kittitas,NA,NA,NA
Kittitas Reclamation District,NA,NA,active,Kittitas,Kittitas,NA,NA,NA
Kittitas School District No. 403,403,School,active,Kittitas,Kittitas,Kittitas,NA,NA
Kittitas Transportation Benefit District (2012),NA,Transportation,active,Kittitas,Kittitas,Kittitas,NA,NA
Klickitat County Cemetery District No. 1,1,Cemetery,active,Klickitat,Klickitat,Bingen and White Salmon,NA,NA
Klickitat County Cemetery District No. 2,2,Cemetery,active,Klickitat,Klickitat,NA,NA,NA
Klickitat County Cemetery District No. 3,3,Cemetery,active,Klickitat,Klickitat,NA,NA,NA
Klickitat County Drainage District No. 1,1,Drainage,disposition unknown,Klickitat,Klickitat,NA,NA,NA
Klickitat County Fire Protection District No. 1,1,Fire Protection,active,Klickitat,Klickitat,NA,Trout Lake,NA
Klickitat County Fire Protection District No. 10,10,Fire Protection,active,Klickitat,Klickitat,NA,Alderdale,NA
Klickitat County Fire Protection District No. 11,11,Fire Protection,active,Klickitat,Klickitat,NA,Wishram,NA
Klickitat County Fire Protection District No. 12,12,Fire Protection,active,Klickitat,Klickitat,NA,Klickitat,NA
Klickitat County Fire Protection District No. 13,13,Fire Protection,active,Klickitat,Klickitat,NA,Appleton,NA
Klickitat County Fire Protection District No. 14,14,Fire Protection,active,Klickitat,Klickitat,NA,High Prairie,NA
Klickitat County Fire Protection District No. 15 (2005),15,Fire Protection,active,Klickitat,Klickitat,NA,NA,Formation election held 02/2005
Klickitat County Fire Protection District No. 2,2,Fire Protection,active,Klickitat,Klickitat,NA,Blickleton,NA
Klickitat County Fire Protection District No. 3,3,Fire Protection,active,Klickitat,Klickitat,NA,Husum/Cherry Lane,NA
Klickitat County Fire Protection District No. 4,4,Fire Protection,active,Klickitat,Klickitat,NA,Lyle,NA
Klickitat County Fire Protection District No. 5,5,Fire Protection,active,Klickitat,Klickitat,NA,Centerville,NA
Klickitat County Fire Protection District No. 6,6,Fire Protection,active,Klickitat,Klickitat,NA,Dallesport,NA
Klickitat County Fire Protection District No. 7,7,Fire Protection,active,Klickitat,Klickitat,NA,Goldendale,NA
Klickitat County Fire Protection District No. 8,8,Fire Protection,active,Klickitat,Klickitat,NA,Glenwood,NA
Klickitat County Fire Protection District No. 9,9,Fire Protection,active,Klickitat,Klickitat,NA,Roosevelt,NA
Klickitat County Port District No. 1,1,Port,active,Klickitat,Klickitat,"Bingen, White Salmon",NA,NA
Klickitat County Public Hospital District No. 1,1,Hospital,active,Klickitat,Klickitat,Goldendale,Klickitat Valley Hospital,NA
Klickitat County Public Hospital District No. 2 ,2,Hospital,active,Klickitat,Klickitat,"Bingen, White Salmon",dba Skyline Hospital,NA
Klickitat School District No. 402,402,School,active,Klickitat,Klickitat,NA,NA,NA
Kopachuck Ridge Estates Water District,NA,Water,active,Pierce,Pierce,NA,NA,NA
La Center School District No. 101,101,School,active,Clark,Clark,NA,NA,NA
La Conner Regional Library,NA,Library,active,Skagit,Skagit,La Conner,NA,NA
La Conner School District No. 311,311,School,active,Skagit,Skagit,La Conner,NA,NA
Lacey Public Facilities District,NA,Public Facilities,active,Thurston,Thurston,Lacey,NA,NA
LaCrosse School District No. 126,126,School,active,Whitman,Whitman,La Crosse,NA,NA
Lagoon Point Water District (1960),NA,Water,active,Island,Island,NA,NA,Organized in the 1960s to serve Lagoon Point residential community; located in Greenbank on the southern portion of Whidbey Island
Lake Chelan Reclamation District,NA,NA,active,Chelan,Chelan,NA,NA,NA
Lake Chelan School District No. 129,129,School,active,Chelan,Chelan,Chelan,NA,NA
Lake Chelan Sewer District (2006),NA,Sewer,active,Chelan,Chelan,NA,NA,Established during the 1950s to provide sewer services to the Lake Chelan area
Lake Forest Park Transportation Benefit District (2008),NA,Transportation,active,King,King,Lake Forest Park,NA,NA
Lake Forest Park Water District ,83,Water,active,King,King,NA,King County Water District No 83 (1948),Serves Lake Forest Park
Lake Osoyoos Water District ,NA,Water,disposition unknown,Okanogan,Okanogan,NA,NA,NA
Lake Quinault School District No. 97,97,School,active,Grays Harbor,Grays Harbor,NA,NA,NA
Lake Spokane Park and Recreation District (2008),NA,Parks,active,Stevens,Stevens,NA,NA,Passed at election 11/2008
Lake Stevens Drainage Improvement District No. 8 ,8,Drainage,disposition unknown,Snohomish,Snohomish,Included Lake Stevens,NA,"Operations suspended December 31, 2006 (RCW 85.38.220 ) per Snohomish County Ordinance No. 06-130"
Lake Stevens Park and Recreation Service Area (2002),NA,Parks,active,Snohomish,Snohomish,NA,NA,NA
Lake Stevens School District No. 4,4,School,active,Snohomish,Snohomish,"Lake Stevens, part Marysville",NA,NA
Lake Stevens Sewer District (1957),NA,Sewer,active,Snohomish,Snohomish,"City of Lake Stevens voted to annex,  election 11/06/2012",NA,NA
Lake Washington School District No. 414,414,School,active,King,King,"Part Bellevue, part Bothell, part Kenmore, part Kirkland, part Redmond, part Sammamish, part Woodinville",NA,NA
Lake Wenatchee Water District,NA,Water,active,Chelan,Chelan,NA,NA,"Established by Chelan County Resolution No. 2006-65, passed 05/30/2006"
Lake Whatcom Water and Sewer District (1968),NA,Water/Sewer,active,Whatcom,Whatcom,NA,NA,Formerly Whatcom County Water District No. 10
Lakehaven Utility District ,124,Public Utility,active,King,King,"Auburn, Des Moines, Federal Way, Kent, Milton, Pacific",King County Water District No 124,"Incorporated in 1956 as Lake Haven Sewer District. A merger with King County Water District No. 56 was completed in November, 1987 and the name was changed to Federal Way Water and Sewer District. On August 7, 1994, the district changed its name to ""Lakehaven Utility District."" Service area includes Auburn, Des Moines, Federal Way, Kent, Milton, Pacific"
Lakeview Terrace Water District ,NA,Water,disposition unknown,Island,Island,NA,NA,NA
Lakewood School District No. 306,306,School,active,Snohomish,Snohomish,"Part Arlington,  part Marysville",NA,NA
Lakewood Water District (1943),NA,Water,active,Pierce,Pierce,"Lakewood, Tacoma, University Place",NA,NA
Lamont School District No. 264,264,School,active,Whitman,Whitman,Lamont,NA,NA
Leavenworth Transportation Benefit District (2010),NA,Transportation,active,Chelan,Chelan,Leavenworth,NA,NA
Ledgewood Beach Water District (1981),NA,Water,active,Island,Island,NA,NA,NA
Lenora Water and Sewer District (1991),NA,Water/Sewer,active,Pend Oreille,Pend Oreille,NA,NA,Created in 1991 by Pend Oreille County Resolution 91-104 in conjunction with the Camelot Shores subdivisions. Later the subdivisions private water system became a part of the Lenora Water District created by Pend Oreille County commissioners Resolution in 2000
Lewis County Cemetery District No. 1,1,Cemetery,active,Lewis,Lewis,Winlock,NA,NA
Lewis County Cemetery District No. 2,2,Cemetery,active,Lewis,Lewis,Mossyrock,NA,NA
Lewis County Cemetery District No. 3,3,Cemetery,active,Lewis,Lewis,NA,NA,NA
Lewis County Cemetery District No. 4,4,Cemetery,active,Lewis,Lewis,NA,NA,NA
Lewis County Cemetery District No. 5,5,Cemetery,active,Lewis,Lewis,NA,NA,NA
Lewis County Cemetery District No. 6,6,Cemetery,active,Lewis,Lewis,NA,NA,NA
Lewis County Cemetery District No. 7,7,Cemetery,active,Lewis,Lewis,Toledo,NA,NA
Lewis County Cemetery District No. 8,8,Cemetery,active,Lewis,Lewis,Vader,NA,NA
Lewis County Cemetery District No. 9,9,Cemetery,active,Lewis,Lewis,Napavine,NA,NA
Lewis County Conservation District,NA,Conservation,active,Lewis,Lewis,NA,NA,NA
Lewis County Drainage District No. 1,1,Drainage,active,Lewis,Lewis,NA,NA,NA
Lewis County Fire Protection District No. 1,1,Fire Protection,active,Lewis,Lewis,NA,Onalaska,NA
Lewis County Fire Protection District No. 10,10,Fire Protection,active,Lewis,Lewis,NA,Packwood,NA
Lewis County Fire Protection District No. 11,11,Fire Protection,active,Lewis,Lewis,NA,Pe Ell,NA
Lewis County Fire Protection District No. 12,12,Fire Protection,dissolved,Lewis,"Lewis, Grays Harbor",NA,NA,Formed Riverside Fire Authority with Centralia - Formed 11/2007. Election 2/14/2012 to dissolve
Lewis County Fire Protection District No. 13,13,Fire Protection,active,Lewis,Lewis,NA,NA,NA
Lewis County Fire Protection District No. 14,14,Fire Protection,active,Lewis,Lewis,NA,Randle Fire and EMS,NA
Lewis County Fire Protection District No. 15 -Winlock,15,Fire Protection,active,Lewis,Lewis,Winlock,NA,NA
Lewis County Fire Protection District No. 16,16,Fire Protection,active,Lewis,Lewis,NA,Doty/Dryad/Meskill,NA
Lewis County Fire Protection District No. 17,17,Fire Protection,active,Lewis,Lewis,NA,Big Creek,NA
Lewis County Fire Protection District No. 18,18,Fire Protection,active,Lewis,Lewis,NA,Glenoma,NA
Lewis County Fire Protection District No. 2,2,Fire Protection,active,Lewis,Lewis,Toledo,Toledo,NA
Lewis County Fire Protection District No. 3,3,Fire Protection,active,Lewis,Lewis,Mossyrock,Mossyrock,NA
Lewis County Fire Protection District No. 4,4,Fire Protection,active,Lewis,Lewis,NA,Morton,NA
Lewis County Fire Protection District No. 5,5,Fire Protection,active,Lewis,Lewis,Napavine,Napavine,NA
Lewis County Fire Protection District No. 6,6,Fire Protection,active,Lewis,Lewis,NA,Chehalis,NA
Lewis County Fire Protection District No. 7,7,Fire Protection,merged,Lewis,Lewis,Vader,NA,NA
Lewis County Fire Protection District No. 8 -Salkum/Silver Creek,8,Fire Protection,active,Lewis,Lewis,NA,NA,NA
Lewis County Fire Protection District No. 9,9,Fire Protection,active,Lewis,Lewis,NA,Mineral,NA
Lewis County Flood  Control District  No. 1,1,Flood Control,active,Lewis,Lewis,NA,NA,"Covers a section of Dillenbaugh 
Creek and Dilleytwig Creek between Bishop Road and Jackson Highway and includes the  Chehalis Industrial Park.  


"
Lewis County Flood Control District No. 2,2,Flood Control,active,Lewis,Lewis,NA,NA,"Encompasses properties in the City of Centralia, Centralia’s UGA and Lewis County between Interstate 5 and the Chehalis Western Railroad grade"
Lewis County Flood Control District No. 3 ,3,Flood Control,disposition unknown,Lewis,Lewis,NA,NA,NA
